,new_vehicle_price_dollars
2047_BMW, 62430.73837196150270756334066390991210937500
2048_BMW, 62361.26001136210106778889894485473632812500
2049_BMW, 62285.81300858779286500066518783569335937500
2050_BMW, 62297.89073418894986389204859733581542968750
2051_BMW, 62294.21394400636199861764907836914062500000
2052_BMW, 62250.36723844947118777781724929809570312500
2053_BMW, 62129.17414279704826185479760169982910156250
2054_BMW, 62120.63309709969325922429561614990234375000
2055_BMW, 62065.12855849487823434174060821533203125000
2023_Ferrari, 326847.77406969200819730758666992187500000000
2024_Ferrari, 325185.67083631694549694657325744628906250000
2025_Ferrari, 326076.95021994260605424642562866210937500000
2026_Ferrari, 324738.91084492555819451808929443359375000000
2027_Ferrari, 325923.79096162860514596104621887207031250000
2028_Ferrari, 324006.18224779405863955616950988769531250000
2029_Ferrari, 323827.50306600757176056504249572753906250000
2030_Ferrari, 323752.63980838644783943891525268554687500000
2031_Ferrari, 323684.88730742264306172728538513183593750000
2032_Ferrari, 323450.20688466215506196022033691406250000000
2033_Ferrari, 323419.64359070512000471353530883789062500000
2034_Ferrari, 323238.74854800448520109057426452636718750000
2035_Ferrari, 323151.06741138617508113384246826171875000000
2036_Ferrari, 322857.53810656146379187703132629394531250000
2037_Ferrari, 322950.29645204113330692052841186523437500000
2038_Ferrari, 322822.69259674416389316320419311523437500000
2039_Ferrari, 322800.94315557566005736589431762695312500000
2040_Ferrari, 322729.62507197819650173187255859375000000000
2041_Ferrari, 322661.26747202675323933362960815429687500000
2042_Ferrari, 322515.91091167822014540433883666992187500000
2043_Ferrari, 322515.64237522357143461704254150390625000000
2044_Ferrari, 322218.62300733168376609683036804199218750000
2045_Ferrari, 322204.22163226548582315444946289062500000000
2046_Ferrari, 321603.12190113286487758159637451171875000000
2047_Ferrari, 322220.91894965164829045534133911132812500000
2048_Ferrari, 321947.04803338635247200727462768554687500000
2049_Ferrari, 321981.08205897937295958399772644042968750000
2050_Ferrari, 321751.41248843597713857889175415039062500000
2051_Ferrari, 321522.59843446698505431413650512695312500000
2052_Ferrari, 321294.61522340425290167331695556640625000000
2053_Ferrari, 321067.44015223480528220534324645996093750000
2054_Ferrari, 320841.05229456874076277017593383789062500000
2055_Ferrari, 320624.93124181882012635469436645507812500000
2023_Ford, 48976.85544528436730615794658660888671875000
2024_Ford, 52241.11910579656250774860382080078125000000
2025_Ford, 52148.75418378437461797147989273071289062500
2026_Ford, 52260.45361145963397575542330741882324218750
2027_Ford, 52416.60916030420776223763823509216308593750
2028_Ford, 52307.70871120666561182588338851928710937500
2029_Ford, 52281.84192354109836742281913757324218750000
2030_Ford, 51874.79713568159058922901749610900878906250
2031_Ford, 51604.00185363674972904846072196960449218750
2032_Ford, 51452.09454398205707548186182975769042968750
2033_Ford, 51294.45276778255356475710868835449218750000
2034_Ford, 51160.34615821728948503732681274414062500000
2035_Ford, 50974.98915142720943549647927284240722656250
2036_Ford, 50892.73869998114241752773523330688476562500
2037_Ford, 50785.93233953470917185768485069274902343750
2038_Ford, 50766.26408697022998239845037460327148437500
2039_Ford, 50682.15732845374441239982843399047851562500
2040_Ford, 50613.10226654505822807550430297851562500000
2041_Ford, 50519.22390985666424967348575592041015625000
2042_Ford, 50427.76083007854322204366326332092285156250
